Country,Year,Total,Population,Crude_rate
Austria,2023,179,9104772,1.96600200422372
Belgium,2021,23,11554767,0.199052044926566
Bulgaria,2023,7,6447710,0.108565676806184
Croatia,2023,66,3850894,1.7138877361984
Cyprus,2023,2,949084,0.210729503394852
Czechia,2023,26,10827529,0.240128657240262
Denmark,2022,191,5873420,3.25193839364459
Estonia,2023,101,1365884,7.39447859408266
Finland,2023,210,5563970,3.77428347025595
France,2022,499,68091703,0.732835247195976
Germany,2023,1197,83118501,1.44011259298336
Greece,2021,211,10555344,1.99898743233759
Hungary,2023,7,9599744,0.0729186111629643
Ireland,2021,244,5066893,4.81557435690866
Italy,2023,104,58997201,0.176279549262007
Latvia,2023,121,1895239,6.38441906271452
Lithuania,2023,40,2857279,1.39993329317858
Luxembourg,2023,7,660809,1.0593076062826
Malta,2023,5,542051,0.922422428885843
Netherlands,2023,178,17811291,0.999366076271507
Norway,2023,291,5488984,5.30152756867209
Portugal,2015,27,10395121,0.259737236343858
Romania,2023,18,19055228,0.094462265158937
Slovakia,2023,24,5428792,0.442087300452845
Slovenia,2023,54,2116972,2.55081314254511
Spain,2022,531,47486843,1.11820446770909
Sweden,2023,376,10521556,3.57361591764564
Turkey,2023,65,85279553,0.0762199117061507
