Country,seizures_2023,heroin,fentanyl
Austria,57.01517,57.01207,0.0031
Belgium,2918.976,2918.976,
Bulgaria,16.66987,10.913,5.75687
Croatia,43.989,43.989,
Cyprus,1.028,1.028,
Czechia,0.90621,0.90576,0.00045
Estonia,0.43882,0.00182,0.437
Finland,0.0908,0.0908,
France,1100,1100,
Germany,171,171,
Greece,199.89991,199.89991,
Hungary,1.676,1.676,
Italy,259.58,259.58,
Latvia,2.1966906,0.2089214,1.9877692
Lithuania,8.6000192,2.2,6.4000192
Luxembourg,1.0646,1.0646,
Malta,7.841,7.841,
Norway,63.24014,63.23,0.01014
Poland,12.61097,12.60397,0.007
Portugal,41.39,41.39,
Romania,192.779,191.28,1.499
Slovakia,1.467237,1.467237,
Slovenia,2.9602,2.9602,
Spain,321.469,321.467,0.002
Sweden,29.318,29.318,
Turkey,3312,3312,
