"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","2015","2015",282,4858979,5.8
"Total","Alabama","01",,,282,4858979,5.8
,"Alaska","02","2015","2015",86,738432,11.6
"Total","Alaska","02",,,86,738432,11.6
,"Arizona","04","2015","2015",671,6828065,9.8
"Total","Arizona","04",,,671,6828065,9.8
,"Arkansas","05","2015","2015",203,2978204,6.8
"Total","Arkansas","05",,,203,2978204,6.8
,"California","06","2015","2015",2018,39144818,5.2
"Total","California","06",,,2018,39144818,5.2
,"Colorado","08","2015","2015",495,5456574,9.1
"Total","Colorado","08",,,495,5456574,9.1
,"Connecticut","09","2015","2015",685,3590886,19.1
"Total","Connecticut","09",,,685,3590886,19.1
,"Delaware","10","2015","2015",133,945934,14.1
"Total","Delaware","10",,,133,945934,14.1
,"District of Columbia","11","2015","2015",98,672228,14.6
"Total","District of Columbia","11",,,98,672228,14.6
,"Florida","12","2015","2015",1838,20271272,9.1
"Total","Florida","12",,,1838,20271272,9.1
,"Georgia","13","2015","2015",858,10214860,8.4
"Total","Georgia","13",,,858,10214860,8.4
,"Hawaii","15","2015","2015",62,1431603,4.3
"Total","Hawaii","15",,,62,1431603,4.3
,"Idaho","16","2015","2015",90,1654930,5.4
"Total","Idaho","16",,,90,1654930,5.4
,"Illinois","17","2015","2015",1381,12859995,10.7
"Total","Illinois","17",,,1381,12859995,10.7
,"Indiana","18","2015","2015",536,6619680,8.1
"Total","Indiana","18",,,536,6619680,8.1
,"Iowa","19","2015","2015",170,3123899,5.4
"Total","Iowa","19",,,170,3123899,5.4
,"Kansas","20","2015","2015",150,2911641,5.2
"Total","Kansas","20",,,150,2911641,5.2
,"Kentucky","21","2015","2015",885,4425092,20.0
"Total","Kentucky","21",,,885,4425092,20.0
,"Louisiana","22","2015","2015",287,4670724,6.1
"Total","Louisiana","22",,,287,4670724,6.1
,"Maine","23","2015","2015",238,1329328,17.9
"Total","Maine","23",,,238,1329328,17.9
,"Maryland","24","2015","2015",1087,6006401,18.1
"Total","Maryland","24",,,1087,6006401,18.1
,"Massachusetts","25","2015","2015",1550,6794422,22.8
"Total","Massachusetts","25",,,1550,6794422,22.8
,"Michigan","26","2015","2015",1309,9922576,13.2
"Total","Michigan","26",,,1309,9922576,13.2
,"Minnesota","27","2015","2015",338,5489594,6.2
"Total","Minnesota","27",,,338,5489594,6.2
