"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alabama","01","2018","2018",392,4887871,8.0,7.2,8.8
,"Alabama","01","2019","2019",427,4903185,8.7,7.9,9.5
,"Alabama","01","2020","2020",629,4921532,12.8,11.8,13.8
,"Alabama","01","2021","2021",1006,5039877,20.0,18.7,21.2
,"Alabama","01","2022","2022",1114,5074296,22.0,20.7,23.2
,"Alabama","01","2023","2023",1228,5108468,24.0,22.7,25.4
,"Alabama","01","2024 ","2024",835,5157699,16.2,15.1,17.3
"Total","Alabama","01",,,5631,35092928,16.0,15.6,16.5
,"Alaska","02","2018","2018",82,737438,11.1,8.8,13.8
,"Alaska","02","2019","2019",100,731545,13.7,11.0,16.3
,"Alaska","02","2020","2020",123,731158,16.8,13.8,19.8
,"Alaska","02","2021","2021",216,732673,29.5,25.5,33.4
,"Alaska","02","2022","2022",204,733583,27.8,24.0,31.6
,"Alaska","02","2023","2023",309,733406,42.1,37.4,46.8
,"Alaska","02","2024 ","2024",292,740133,39.5,34.9,44.0
"Total","Alaska","02",,,1326,5139936,25.8,24.4,27.2
,"Arizona","04","2018","2018",1159,7171646,16.2,15.2,17.1
,"Arizona","04","2019","2019",1324,7278717,18.2,17.2,19.2
,"Arizona","04","2020","2020",1952,7421401,26.3,25.1,27.5
,"Arizona","04","2021","2021",2063,7276316,28.4,27.1,29.6
,"Arizona","04","2022","2022",2006,7359197,27.3,26.1,28.5
,"Arizona","04","2023","2023",2070,7431344,27.9,26.7,29.1
,"Arizona","04","2024 ","2024",1809,7582384,23.9,22.8,25.0
"Total","Arizona","04",,,12383,51521005,24.0,23.6,24.5
,"Arkansas","05","2018","2018",217,3013825,7.2,6.2,8.2
,"Arkansas","05","2019","2019",208,3017804,6.9,6.0,7.8
,"Arkansas","05","2020","2020",292,3030522,9.6,8.5,10.7
,"Arkansas","05","2021","2021",394,3025891,13.0,11.7,14.3
,"Arkansas","05","2022","2022",405,3045637,13.3,12.0,14.6
,"Arkansas","05","2023","2023",320,3067732,10.4,9.3,11.6
,"Arkansas","05","2024 ","2024",194,3088354,6.3,5.4,7.2
"Total","Arkansas","05",,,2030,21289765,9.5,9.1,9.9
,"California","06","2018","2018",2544,39557045,6.4,6.2,6.7
,"California","06","2019","2019",3364,39512223,8.5,8.2,8.8
,"California","06","2020","2020",5664,39368078,14.4,14.0,14.8
,"California","06","2021","2021",7338,39237836,18.7,18.3,19.1
,"California","06","2022","2022",7511,39029342,19.2,18.8,19.7
,"California","06","2023","2023",8082,38965193,20.7,20.3,21.2
,"California","06","2024 ","2024",5671,39431263,14.4,14.0,14.8
"Total","California","06",,,40174,275100980,14.6,14.5,14.7
,"Colorado","08","2018","2018",602,5695564,10.6,9.7,11.4
,"Colorado","08","2019","2019",676,5758736,11.7,10.9,12.6
,"Colorado","08","2020","2020",1012,5807719,17.4,16.4,18.5
,"Colorado","08","2021","2021",1346,5812069,23.2,21.9,24.4
,"Colorado","08","2022","2022",1236,5839926,21.2,20.0,22.3
,"Colorado","08","2023","2023",1339,5877610,22.8,21.6,24.0
,"Colorado","08","2024 ","2024",1025,5957493,17.2,16.2,18.3
"Total","Colorado","08",,,7236,40749117,17.8,17.3,18.2
,"Connecticut","09","2018","2018",961,3572665,26.9,25.2,28.6
,"Connecticut","09","2019","2019",1119,3565287,31.4,29.5,33.2
,"Connecticut","09","2020","2020",1261,3557006,35.5,33.5,37.4
,"Connecticut","09","2021","2021",1408,3605597,39.1,37.0,41.1
,"Connecticut","09","2022","2022",1363,3626205,37.6,35.6,39.6
,"Connecticut","09","2023","2023",1203,3617176,33.3,31.4,35.1
